age_in_days,asset.name,definition.cve,definition.cwe,definition.id,definition.name,definition.severity,definition.vpr_v2.score,first_observed,id,last_fixed,last_seen,severity,state,vuln_age
99,aaa,CVE-2025-68973,675,287948,RHEL 8 : gnupg2 (RHSA-2026:0728),Medium,4.9,2026-01-17T18:34:32.286Z,037b44b5-7737-5ae7-b7cf-7cdcb69c5595,,2026-04-15T13:06:57.524Z,Medium,ACTIVE,8617982000
71,aaa,CVE-2025-6176,400,298532,RHEL 8 : brotli (RHSA-2026:2389),High,3,2026-02-14T18:38:47.493Z,0698ac74-ed26-5ddd-845b-0305a0c1726c,,2026-04-15T13:06:57.524Z,High,ACTIVE,6198527000
22,aaa,CVE-2025-10158,129,304700,RHEL 8 : rsync (RHSA-2026:6436),Medium,1.2,2026-04-04T18:43:20.906Z,09daf44c-f931-56a8-951b-c05592b7c78e,,2026-04-15T13:06:57.524Z,Medium,ACTIVE,1964653000
106,aaa,"CVE-2025-64720, CVE-2025-65018, CVE-2025-66293","125, 787",282413,RHEL 8 : libpng (RHSA-2026:0241),High,4.3,2026-01-10T18:43:28.275Z,11fdc95d-4cda-58d8-b573-a6492f526864,,2026-04-15T13:06:57.524Z,High,ACTIVE,9222246000
81,aaa,CVE-2025-12084,770,297520,RHEL 8 : python3 (RHSA-2026:1631),Medium,3.2,2026-02-04T13:07:23.052Z,1f8048a6-3522-5b4e-9d69-966bb25cd227,,2026-04-15T13:06:57.524Z,Medium,ACTIVE,7082411000
78,aaa,CVE-2025-14104,125,297811,RHEL 8 : util-linux (RHSA-2026:1852),Medium,3.5,2026-02-07T18:59:28.515Z,1fc29bc1-6f91-5a9f-9f42-11f7b74bf84e,,2026-04-15T13:06:57.524Z,Medium,ACTIVE,6802086000
74,aaa,"CVE-2022-50673, CVE-2025-38403, CVE-2025-40135, CVE-2025-40158, CVE-2025-40170, CVE-2025-40269, CVE-2025-68349, CVE-2026-22998","131, 416, 476, 825, 909",298381,RHEL 8 : kernel (RHSA-2026:2264),Medium,7.3,2026-02-11T13:14:46.194Z,21f72727-9774-5bf1-859e-60199d8e6108,,2026-04-15T13:06:57.524Z,Medium,ACTIVE,6477168000
39,aaa,"CVE-2026-22695, CVE-2026-22801, CVE-2026-25646",125,302775,RHEL 8 : libpng (RHSA-2026:4728),High,6.9,2026-03-18T13:25:34.961Z,24876b65-bb0c-578e-b36a-c7b80b13bc64,,2026-04-15T13:06:57.524Z,High,ACTIVE,3452519000
43,aaa,CVE-2026-25749,120,301940,RHEL 8 : vim (RHSA-2026:4442),Medium,4.3,2026-03-14T18:40:23.158Z,2fe2f6db-c1e0-545f-bb64-c1980c79fb9f,,2026-04-15T13:06:57.524Z,Medium,ACTIVE,3779231000
18,aaa,"CVE-2024-26984, CVE-2025-71238, CVE-2026-23193, CVE-2026-23231","364, 416, 476, 672",305068,RHEL 8 : kernel (RHSA-2026:6571),Medium,6.9,2026-04-08T12:59:40.743Z,3b2f8826-55cd-5221-841b-485571c5946a,,2026-04-15T13:06:57.524Z,Medium,ACTIVE,1639673000
25,aaa,"CVE-2025-38180, CVE-2026-23204, CVE-2026-23209","1285, 825, 911",304306,RHEL 8 : kernel (RHSA-2026:6037),Medium,6.9,2026-04-01T13:21:42.703Z,3c5aaa16-2eec-5ad4-85c0-a31144a8a2b6,,2026-04-15T13:06:57.524Z,Medium,ACTIVE,2243152000
99,aaa,CVE-2025-9230,125,283493,RHEL 8 : openssl (RHSA-2026:0337),High,5.7,2026-01-17T18:34:32.286Z,4a4fe4d1-17fb-5a06-90a0-152afbe2e1bb,,2026-04-15T13:06:57.524Z,High,ACTIVE,8617982000
99,aaa,"CVE-2025-39993, CVE-2025-40240, CVE-2025-68285","416, 476, 825",283490,RHEL 8 : kernel (RHSA-2026:0444),High,4.9,2026-01-17T18:34:32.286Z,53b5179c-6a90-5ad2-9500-8600cdac2634,,2026-04-15T13:06:57.524Z,High,ACTIVE,8617982000
60,aaa,CVE-2025-69419,131,299753,RHEL 8 : openssl (RHSA-2026:3042),High,6.3,2026-02-25T13:19:43.844Z,6058a144-7b19-5b58-83bc-bae899562346,,2026-04-15T13:06:57.524Z,High,ACTIVE,5267270000
